Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC;Id_Paysage
2015;LICENCE PRO;0691774D;Lyon 1 - Claude Bernard;A10;Lyon;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;73;84;14;99;96;79;100;1800;28100;5;7.6;1825;6;29;42.00;1460;2180;Lyon 1 - Claude Bernard_30;disc14_30;etBz7
2015;LICENCE PRO;0691774D;Lyon 1 - Claude Bernard;A10;Lyon;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;3;60;1;ns;ns;ns;ns;ns;ns;5;7.6;1825;ns;ns;;1460;2180;Lyon 1 - Claude Bernard_18;disc17_18;etBz7
2015;LICENCE PRO;0691774D;Lyon 1 - Claude Bernard;A10;Lyon;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;3;60;1;ns;ns;ns;ns;ns;ns;5;7.6;1825;ns;ns;;1460;2180;Lyon 1 - Claude Bernard_30;disc17_30;etBz7
2015;LICENCE PRO;0691775E;Lyon 2 - Lumière;A10;Lyon;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;77;54;54;97;58;82;98;1720;26800;13;7.6;1825;4;20;61.00;1460;2180;Lyon 2 - Lumière_18;disc01_18;CUBKB
2015;LICENCE PRO;0691775E;Lyon 2 - Lumière;A10;Lyon;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;8;44;5;ns;ns;ns;ns;ns;ns;13;7.6;1825;ns;ns;;1460;2180;Lyon 2 - Lumière_30;disc10_30;CUBKB
2015;LICENCE PRO;0691775E;Lyon 2 - Lumière;A10;Lyon;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;14;63;9;ns;ns;ns;ns;ns;ns;13;7.6;1825;ns;ns;;1460;2180;Lyon 2 - Lumière_18;disc11_18;CUBKB
2015;LICENCE PRO;0691775E;Lyon 2 - Lumière;A10;Lyon;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;14;35;15;ns;ns;ns;ns;ns;ns;13;7.6;1825;ns;ns;;1460;2180;Lyon 2 - Lumière_30;disc12_30;CUBKB
2015;LICENCE PRO;0692437Z;Lyon 3 - Jean Moulin;A10;Lyon;DEG;Droit, économie et gestion;disc02;Droit;18 mois après le diplôme;;53;74;18;97;70;80;93;1540;24000;6;7.6;1825;3;50;84.00;1460;2180;Lyon 3 - Jean Moulin_18;disc02_18;7Gzub
2015;LICENCE PRO;0692437Z;Lyon 3 - Jean Moulin;A10;Lyon;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;53;74;18;98;98;94;96;1630;25400;6;7.6;1825;2;50;84.00;1460;2180;Lyon 3 - Jean Moulin_30;disc02_30;7Gzub
2015;LICENCE PRO;0692437Z;Lyon 3 - Jean Moulin;A10;Lyon;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;10;76;3;ns;ns;ns;ns;ns;ns;6;7.6;1825;ns;ns;;1460;2180;Lyon 3 - Jean Moulin_18;disc07_18;7Gzub
2015;LICENCE PRO;0692437Z;Lyon 3 - Jean Moulin;A10;Lyon;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;6;86;2;ns;ns;ns;ns;ns;ns;6;7.6;1825;ns;ns;;1460;2180;Lyon 3 - Jean Moulin_30;disc12_30;7Gzub
2015;LICENCE PRO;0720916E;Le Mans;A17;Nantes;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;24;83;7;ns;ns;ns;ns;ns;ns;30;7.3;1760;ns;ns;;1430;2070;Le Mans_18;disc07_18;9xlel
2015;LICENCE PRO;0720916E;Le Mans;A17;Nantes;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;130;72;44;95;83;64;99;1500;23400;30;7.3;1760;5;67;23.00;1430;2070;Le Mans_18;disc12_18;9xlel
2015;LICENCE PRO;0720916E;Le Mans;A17;Nantes;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;26;70;9;ns;ns;ns;ns;ns;ns;30;7.3;1760;ns;ns;;1430;2070;Le Mans_18;disc14_18;9xlel
2015;LICENCE PRO;0720916E;Le Mans;A17;Nantes;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;14;70;5;ns;ns;ns;ns;ns;ns;30;7.3;1760;ns;ns;;1430;2070;Le Mans_30;disc16_30;9xlel
2015;LICENCE PRO;0730858L;Savoie Mont Blanc;A08;Grenoble;DEG;Droit, économie et gestion;disc02;Droit;18 mois après le diplôme;;5;67;1;ns;ns;ns;ns;ns;ns;9;7.6;1825;ns;ns;;1460;2180;Savoie Mont Blanc_18;disc02_18;zCa4j
2015;LICENCE PRO;0730858L;Savoie Mont Blanc;A08;Grenoble;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;62;93;11;95;41;69;95;1460;22800;9;7.6;1825;3;25;77.00;1460;2180;Savoie Mont Blanc_30;disc05_30;zCa4j
2015;LICENCE PRO;0730858L;Savoie Mont Blanc;A08;Grenoble;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;14;88;3;ns;ns;ns;ns;ns;ns;9;7.6;1825;ns;ns;;1460;2180;Savoie Mont Blanc_30;disc07_30;zCa4j
2015;LICENCE PRO;0730858L;Savoie Mont Blanc;A08;Grenoble;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;144;86;28;94;89;70;99;1700;26500;9;7.6;1825;15;24;15.00;1460;2180;Savoie Mont Blanc_18;disc15_18;zCa4j
2015;LICENCE PRO;0730858L;Savoie Mont Blanc;A08;Grenoble;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;144;86;28;97;93;81;99;1830;28500;9;7.6;1825;15;24;15.00;1460;2180;Savoie Mont Blanc_30;disc15_30;zCa4j
2015;LICENCE PRO;0730858L;Savoie Mont Blanc;A08;Grenoble;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;58;81;11;94;96;83;96;1700;26500;9;7.6;1825;17;19;8.00;1460;2180;Savoie Mont Blanc_18;disc16_18;zCa4j
2015;LICENCE PRO;0751717J;Paris 1 - Panthéon Sorbonne;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;7;83;18;ns;ns;ns;ns;ns;ns;9;7.8;2060;ns;ns;;1600;2570;Paris 1 - Panthéon Sorbonne_18;disc07_18;6G2TU
2015;LICENCE PRO;0751717J;Paris 1 - Panthéon Sorbonne;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;7;83;18;ns;ns;ns;ns;ns;ns;9;7.8;2060;ns;ns;;1600;2570;Paris 1 - Panthéon Sorbonne_30;disc07_30;6G2TU
2015;LICENCE PRO;0751718K;Paris 2 - Panthéon Assas;A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;2;21;;;;;;;;0;7.8;2060;;;;1600;2570;Paris 2 - Panthéon Assas_30;disc01_30;GBpkg
2015;LICENCE PRO;0751719L;Paris 3 - Sorbonne Nouvelle;A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;0;;;;;;;;;0;7.8;2060;;;;1600;2570;Paris 3 - Sorbonne Nouvelle_18;disc01_18;8k883
2015;LICENCE PRO;0751719L;Paris 3 - Sorbonne Nouvelle;A01;Paris;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;0;;;;;;;;;0;7.8;2060;;;;1600;2570;Paris 3 - Sorbonne Nouvelle_18;disc05_18;8k883
2015;LICENCE PRO;0751721N;Paris René Descartes;A01;Paris;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;1;60;1;ns;ns;ns;ns;ns;ns;6;7.8;2060;ns;ns;;1600;2570;Paris René Descartes_30;disc02_30;O2v0H
2015;LICENCE PRO;0751721N;Paris René Descartes;A01;Paris;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;49;47;44;92;51;80;100;1800;28100;6;7.8;2060;4;8;63.00;1600;2570;Paris René Descartes_18;disc04_18;O2v0H
2015;LICENCE PRO;0751723R;Paris 7 - Denis Diderot;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;7;78;;;;;;;;4;7.8;2060;;;;1600;2570;Paris 7 - Denis Diderot_18;disc06_18;5KpJ9
