Année;Diplôme;situation;Genre;Disciplines;Code du domaine;Domaine;Code de la discipline;Discipline;Sigle;Spécialité;Nombre de réponses;Part des emplois de niveau cadre ou profession intermédiaire;Part des emplois de niveau cadre;Part des emplois stables;Part des emplois à temps plein;Salaire net mensuel médian des emplois à temps plein;Salaire brut annuel estimé;Premier quartile des salaires nets mensuels des emplois à temps plein;Dernier quartile des salaires nets mensuels des emplois à temps plein;Part des diplômés boursiers dans la discipline;Part des femmes;Taux de chômage national;Salaire net mensuel médian national;Code du secteur disciplinaire SISE;Salaire net mensuel national 1er quartile;Salaire net mensuel national 3ème quartile;cle_DISC;Prof. libérale, indépendant, chef d’entreprise;Fonctionnaire;statut_cdi;statut_conspe;CDD;Vacataire;Intérimaire;Intermittent du spectacle;Contrat de professionnalisa tion;Emplois aidés (Contrat Initiative Emploi…);Volontariat international;Vous-même;La fonction publique (d'etat, territoriale ou hospitalière);Une entreprise privée;Une entreprise publique;Une association;Une personne exerçant une profession libérale ou un indépendant;Un particulier;Agriculture, sylviculture et pêche;Industries (manufacturières,  extractives et autres);Construction;Commerce, transports, héberg-ement et restauration;Information et communication;Activités financières et d’assurance;Activités spécialisées, scientifiques et techniques;Activités de services administratifs et de soutien;Enseignement;Administra tion publique (hors ens.);Santé humaine et action sociale;Arts, spectacles et activités récréatives;Autres activités de service;Personnel de catégorie A de la fonction publique;Ingénieur, cadre, prof. libérales, prof. intellectuelles sup;Personnel de catégorie B de la fonction publique;Emploi de niveau intermédiaire : technicien, agent de maîtrise…;Personnel de catégorie C de la fonction publique;Manœuvre, ouvrier;Employé de bureau, de commerce, personnel de service;Taux d’insertion;% emplois extérieurs à la région de l’université
2016;DUT;30 mois après le diplôme;femmes;Droit, économie et gestion>Gestion>Gestion logistique et transport;DEG;Droit, économie et gestion;disc04;Gestion;GLT;Gestion logistique et transport;32;ns;ns;ns;ns;ns;ns;ns;ns;46;;8.5;1830;;1450;2180;GLT_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;ns
2016;DUT;18 mois après le diplôme;femmes;Droit, économie et gestion>Gestion>Gestion logistique et transport;DEG;Droit, économie et gestion;disc04;Gestion;GLT;Gestion logistique et transport;32;ns;ns;ns;ns;ns;ns;ns;ns;46;;8.5;1830;;1450;2180;GLT_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89;ns
2015;DUT;30 mois après le diplôme;hommes;Droit, économie et gestion>Gestion>Gestion logistique et transport;DEG;Droit, économie et gestion;disc04;Gestion;GLT;Gestion logistique et transport;57;57;7;69;93;1550;24200;ns;ns;23;;8.6;1865;;1475;2280;GLT_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;29
2013;DUT;30 mois après le diplôme;hommes;Droit, économie et gestion>Gestion>Gestion logistique et transport;DEG;Droit, économie et gestion;disc04;Gestion;GLT;Gestion logistique et transport;58;44;1;63;93;1530;23900;ns;ns;36;;9.9;1870;;1490;2280;GLT_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;29
2014;DUT;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Gestion>Gestion logistique et transport;DEG;Droit, économie et gestion;disc04;Gestion;GLT;Gestion logistique et transport;88;40;1;67;98;1500;23400;1300;1710;39;27;9.3;1870;;1480;2280;GLT_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;22
2014;DUT;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Gestion>Gestion logistique et transport;DEG;Droit, économie et gestion;disc04;Gestion;GLT;Gestion logistique et transport;88;55;2;74;93;1680;26300;1400;1910;39;27;9.3;1870;;1480;2280;GLT_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;22
2015;DUT;30 mois après le diplôme;hommes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie mécanique et productique;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GMP;Génie mécanique et productique;102;85;5;78;100;1650;25700;1430;1850;26;;8.6;1865;;1475;2280;GMP_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95;41
2015;DUT;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie mécanique et productique;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GMP;Génie mécanique et productique;105;80;4;74;96;1500;23400;1330;1800;26;2;8.6;1865;;1475;2280;GMP_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;41
2016;DUT;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie mécanique et productique;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GMP;Génie mécanique et productique;117;86;5;63;96;1500;23500;1330;1800;38;5;8.5;1830;;1450;2180;GMP_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;25
2015;DUT;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie mécanique et productique;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GMP;Génie mécanique et productique;105;86;5;78;100;1650;25700;1430;1850;26;2;8.6;1865;;1475;2280;GMP_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95;41
2015;DUT;18 mois après le diplôme;hommes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie mécanique et productique;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GMP;Génie mécanique et productique;102;79;4;74;96;1500;23400;1330;1800;26;;8.6;1865;;1475;2280;GMP_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;41
2013;DUT;30 mois après le diplôme;femmes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie mécanique et productique;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GMP;Génie mécanique et productique;12;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;;1490;2280;GMP_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ns;ns
2013;DUT;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie mécanique et productique;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GMP;Génie mécanique et productique;98;75;6;69;97;1600;25000;1380;1750;34;13;9.9;1870;;1490;2280;GMP_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;37
2013;DUT;18 mois après le diplôme;hommes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie thermique et énergie;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GTE;Génie thermique et énergie;20;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;;1490;2280;GTE_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ns;ns
2014;DUT;30 mois après le diplôme;femmes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie thermique et énergie;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GTE;Génie thermique et énergie;3;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;;1480;2280;GTE_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ns;ns
2015;DUT;30 mois après le diplôme;femmes;Sciences, technologies et santé>Sciences de la vie et de la terre>Hygiène, sécurité, environnement;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;HSE;Hygiène, sécurité, environnement;6;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.6;1865;;1475;2280;HSE_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ns;ns
